id,titre,description,status,plan,temp_dev_total,temps_test_total,commentaire
F0014,gui selecteur fichier dataframe,Zone fichier source dataframe non ergonomique (champ texte seul). Capture: gestion_projet/agentic/captures/F0014_file_field_text_only.png. Ajouter selection systeme (file picker) et drag&drop d un fichier dans la zone. Upload vers le workspace projet (input/) et renseigner le chemin relatif.,terminee,POST /gui/upload; UI dropzone+input file; tests,40min,15min,upload + dropzone; python-multipart; capture F0014
F0015,gui sync config formulaire yaml,"Zone avancee en JSON brut: remplacer par YAML brut. Bidirectional sync: modifications formulaire → YAML, et YAML → formulaire. Capture: gestion_projet/agentic/captures/F0015_json_brut_desync.png.",terminee,YAML editor + sync form; js-yaml; tests,35min,12min,YAML brut + sync bidirectionnel; capture F0015; js-yaml
F0016,step table/view name optionnel,"Pour les steps type table ou view, property optionnelle 'name' = nom de la relation en base. Si absente, le nom de la relation = id de la step. Gere dans le core ConnectionPipeline puis dans le GUI (formulaire + YAML).",terminee,relation_name(); process/should_process/p_table_view; gui field; tests,35min,15min,relation_name(); core+gui; tests F0016
F0017,gui ajout dataframe sans popup,Clic Ajouter Dataframe ouvre un popup nom de step (peu ergonomique). Capture: gestion_projet/agentic/captures/F0017_dataframe_popup_name.png. A la place: ajouter directement le noeud sur le graphe avec nom dataframe_{YYYY_MM_DD_hh_mm_ss}. Clic noeud → config a droite pour renommer et pointer le fichier. Pas de SQL (lecture fichier → dataframe).,terminee,create step direct; timestamp name; select+config; tests,25min,10min,ajout direct graphe; nom dataframe_YYYY_MM_DD_hh_mm_ss; rename save
F0018,gui yaml config pleine largeur,Zone YAML brut trop petite dans le panneau config. Capture: gestion_projet/agentic/captures/F0018_yaml_panel_too_narrow.png. Doit prendre toute la largeur de la sidebar config.,terminee,CSS full width raw-yaml + textarea,15min,5min,CSS YAML pleine largeur sidebar config
F0019,gui requires multi-select dataview prerequis,"Pour les composants table, view, execute et iteration: partie graphique config bien faite, synchronisee avec le YAML, et fonctionnelle. Quand on se branche sur une source prerequis (requires), afficher le resultat dans la zone DataView en bas de la zone graphique du GUI (limit 3, build si besoin). Multi-select des steps existantes a la place du champ texte virgule.",terminee,requires picker + preview DataView + sync YAML; tests F0019,55min,20min,picker multi-select; DataView prerequis; relation_exists temp catalog dataframe; merge F0019
F0020,gui yaml highlight erreurs largeur,"Zone YAML du GUI: texte brut sans couleurs (cles/valeurs). Besoin: coloration syntaxique (attributs vs valeurs), indication claire des erreurs de parsing YAML pour corriger le fichier, panneau YAML stylise en pleine largeur de la sidebar config (renforce F0018).",terminee,editor dual-layer highlight + formatYamlError + CSS full width; tests F0020,40min,15min,highlight cles/valeurs; erreurs ligne/col; pleine largeur sidebar; merge F0020
F0021,gui ui sans textes explicatifs redondants,"Interface GUI: trop de petits textes explicatifs redondants. Ne garder que titres et textes principaux par zone (Outils, Graphe, Config, DataView, YAML). Retirer hints, sous-titres, descriptions outils, messages ok YAML, labels trop longs.",terminee,retirer hints/desc; labels courts; tests F0021,20min,8min,UI epuree; titres seuls; merge F0021
F0022,gui pictogrammes types steps,"Les types dataframe, table, view, execute et iteration ne sont distingues que par couleur. Ajouter un logo / pictogramme adapte pour chaque type (palette outils, graphe, requires) pour une lecture visuelle plus claire.",terminee,SVG icons par type; palette+graphe+requires; tests F0022,30min,10min,pictos SVG palette+graphe+requires; merge F0022
F0023,tests graphe dependances excel chaines,"Scenarios de test pour la visualisation graphique des dependances: dataframe sur Excel (tests/fixtures/f0023/sales_mini.xlsx), puis table/view sur dataframe, puis chaines select/filtre/group by. Verifier nodes/edges /gui/graph + build/preview. Iteration hors scope (feature separee).",terminee,fixture xlsx + test_f0023 scenarios A-G; sans iteration,25min,20min,10 tests PASS; sales_mini.xlsx; chaines select/filtre/groupby/multi-requires; merge F0023
F0024,tests composant iteration attributs et fin,"Tests du composant iteration: table scenarios, step_view par tour, flux target (execute) + table resultats, attributs (execution, scenarios, step_view, target, order_by, requires). S assurer d atteindre la fin. Vue finale branchee sur t_results pour prouver le succes. Source Excel sales_mini.xlsx. GUI graph + build.",terminee,test_f0024_iteration_component; engine+gui; v_final preuve,35min,25min,12 tests PASS; iteration sequential; v_final sur t_results; merge F0024
F0025,documentation core cli api gui html,"Mise a jour documentation: README hub + docs separees core, cli, api, gui. Page HTML stylee. Pour chaque composant: parametres, role, obligatoire/optionnel, exemples. Ton humain, precis, sans artefacts IA.",terminee,doc/CORE CLI API GUI.md + documentation.html + README; tests presence,45min,12min,docs separees + HTML; merge F0025
F0026,sauvegarde projet renatus db pipelines,"Pouvoir sauvegarder un projet renatus: connexion base DuckDB + dossier pipelines. Fichier .renatus.yaml, ouvrir/sauver depuis GUI et CLI (--project). Recharger le meme workspace plus tard.",terminee,RenatusProject + API save/open + UI + CLI; tests F0026,40min,15min,fichier .renatus.yaml; save/open gui; merge F0026
F0027,onglets multi pipeline graphe gui,"Zone graphe: plusieurs onglets, chaque onglet visualise un graphe de pipeline. Pipelines paralleles dans le meme projet; separation quand le projet est grand. Sous-dossiers de pipelines/ = onglets; main = racine. Tests isolation graphe + create/delete onglet.",terminee,tabs FS + graph?tab= + UI tab bar; tests F0027,50min,25min,onglets main/etl; graphe filtre; 12 tests; merge F0027
F0028,full check tests qualite archive obsoletes,Full check de toutes les features precedentes. Verifier que les tests unitaires fonctionnent encore. Archiver les tests obsoletes quand une feature ecrase le design precedent. Garder actifs uniquement les tests alignees sur l etat a jour. Merger develop et main.,terminee,full pytest; fix F0019/F0021; archive policy; merge F0028,30min,20min,232 tests PASS; archive README; alignement UI; merge F0028
F0029,gui ux design ergonomie polish,"Ameliorer design, ergonomie et experience utilisateur du GUI: widgets, composants graphiques, focus, raccourcis, hierarchy visuelle. UX irreprochable.",terminee,CSS design system + HTML toolbar + raccourcis; tests F0029,45min,15min,polish UX F0029; 238+ tests; merge F0029
F0030,logo renatus renaissance lineage,Logo package renatus (renaissance + pipeline lineage). Integrer le concept bien exprime dans README et doc. Objectif principal: le logo.,terminee,SVG logo + mark; README/doc/GUI; tests F0030,35min,12min,logo SVG cycle+noeuds; intro renaissance; merge F0030
F0031,id composant immutable un yaml par step,Un yaml par composant. Chaque composant recoit un id unique applicatif (defaut=label de creation ex dataframe_YYYY_MM_DD_hh_mm_ss). Fichier <id>.yaml. Id non modifiable par l utilisateur; label oui. Tracking futur sur le fichier.,terminee,YamlStepStore mono-fichier; label; UI cfg-id readonly; tests F0031,50min,20min,id immutable; un yaml par step; label editable; merge F0031
F0032,projet git local branche auto-commit merge main,"Projet renatus = repo git local. Branche b_yyyy_mm_dd_hh_mm_ss depuis main. Auto-commit des mods. Reouverture sur main; si branche plus avancee, proposer de la charger. Save projet = merge main.",terminee,ProjectGit + save/open/resume + UI confirm; tests F0032,55min,25min,git init work branch; auto-commit; merge main; merge F0032
F0033,gui step changelogs git timeline apply ff,"Click objet: config a droite; bas Data preview + Changelogs. Timeline git (recent en haut); click point = diff unifie type git/pygments; Apply this version = FF only (nouveau commit, pas de reset historique).",terminee,ProjectGit file_log/diff/restore; API changelog; UI timeline+diff; tests F0033,60min,25min,timeline+diff+apply FF; merge F0033
F0035,gui changelogs globaux timeline apply file/all,"Bouton Changelogs global: timeline git projet (pas par composant). Clic noeud = fichiers + diff. Apply file = un fichier; Apply all = snapshot complet. Forward-only (nouveau commit, pas de reset/revert). Corrige F0033.",terminee,global_log; API /gui/changelog; UI globale; apply file|all; tests F0035,55min,20min,timeline globale + apply file/all FF
F0036,gui ouvrir creer projet chemin db pipelines,Ouvrir/Creer projet: saisir chemin dossier ou .renatus.yaml. Existant = charge db+pipelines. Nouveau = UI ergonomique (zones style dropzone) pour brancher base DuckDB et dossier pipelines; enregistrement dans le fichier projet.,terminee,inspect+create API; dialog path-zone; tests F0036,50min,18min,open/create projet ergonomique
F0037,gui graphe tronquer labels noeuds,"Libelles des composants du graphe se chevauchent quand trop longs. Tronquer le texte avec ellipsis dans les limites du noeud (clip SVG + truncation JS), tooltip full name au survol.",terminee,truncateNodeText+clipPath; tests F0037,20min,8min,labels graphe tronques
F0038,gui dialog nouvel onglet pipeline style,Le bouton + pour un nouvel onglet ouvre un prompt navigateur moche. Remplacer par un dialog GUI stylé (comme les autres modales).,terminee,new-tab-dialog HTML/CSS/JS; tests F0038,25min,10min,dialog nouvel onglet
F0039,gui requires cross onglets catalog,Requires d un objet peuvent referencer des steps d autres onglets (sources main reutilisees dans etl). Picker multi-onglets + catalogue API + noeuds fantomes sur le graphe.,terminee,graph catalog; picker allSteps; ghost external; tests F0039,40min,15min,requires multi-onglets
F0040,gui requires liens label composants,Requires = liens vers composants pipeline (id YAML). Afficher le label; clic ouvre la config. Confirmer que requires ne reference pas la relation SQL physique (table/view name).,terminee,openRequireComponent; chips; label display; tests engine id; F0040,35min,12min,requires liens labels
F0041,gui dependances inverses utilise par,"Afficher les dependances inverses calculees (qui require ce composant). Lecture seule, non stockees dans le YAML. Liens clickables vers les configs. Modifier = editer requires de l autre objet.",terminee,dependents_of API; UI Utilise par; tests F0041,30min,12min,dependents readonly links
F0042,gui propager renommage label dependances,Changer le label d un composant le propage partout (requires/dependents affichage). Requires restent des ids; heal si un YAML stockait encore l ancien label.,terminee,label_changed put_step; heal requires; UI patch; tests F0042,30min,12min,label propagate
F0043,projet pipelines dans git donnees referencees hors workspace,Verifier/forcer: creation projet stocke db_path; pipelines obligatoirement sous le root projet (git); donnees privees referencees sans copie. Aligner doc.,terminee,ensure_pipelines_inside_project; gitignore input; docs; tests F0043,40min,15min,layout projet F0043
F0044,gui polish design UX ergonomie front,"Audit GUI + plan design (topbar, outils, graphe, config, dataview, dialogs). Appliquer tokens, hierarchie visuelle, empty states, boutons unifies.",terminee,CSS design system; UX doc; tests F0044,50min,15min,polish UX F0044
F0045,layout pipelines zone sous-dossier objet yaml,Documenter et figer: pipelines/ par projet; zone=sous-dossier; objet=fichier yaml. UI Nouvelle zone.,terminee,create_tab path; docs mapping; tests FS F0045,20min,8min,layout zone/objet
F0046,gui silence warnings pandas demarrage,renatus-gui sans args demarre OK mais affiche UserWarning pandas numexpr/bottleneck. Filtrer au chargement du package (avant import moteur).,terminee,filterwarnings renatus.__init__; tests A0006; F0046,15min,5min,silence pandas warnings
F0047,gui config presentation crayon edit fichier,Config en mode presentation; crayon pour editer chaque champ. Dropzone fichier seulement si vide ou en edition.,terminee,presentation mode; btn-pencil; file-summary; tests F0047,45min,15min,config presentation UX
F0048,attribut name relation physique distinct du label,"dataframe/table/view: label=composant UI, name=entite en base (SQL/register). Defaut name=label, modifiable independamment. requires=id, SQL utilise name.",terminee,relation_name dataframe; normalize name; UI Name field; tests F0048,35min,12min,name vs label
F0049,sql utilise name relation pas id label,"Completer F0048: SQL FROM df_sales (name), requires=id step. Hints UI, chips SQL name, build e2e dataframe+view.",terminee,sql hints; requires relation_name; e2e build; F0049,25min,10min,SQL name vs label
F0050,gui crayon a cote du champ config,"Bouton modifier (crayon) aligne a cote de la valeur du champ, pas sur la ligne du label.",terminee,field-row flex; pencil inline; CSS F0050,15min,5min,crayon cote valeur
F0051,gui crayon toggle edit cancel,Bouton modifier activable/desactivable: defaut presentation; click=edition champ; re-click=annule et revient presentation sans sauvegarder.,terminee,toggle is-editing; fieldSnapshots; cancelEditField; tests F0051,30min,10min,crayon toggle cancel
F0052,gui composant zone organisationnel,"Composant zone (palette): organisationnel, dossier pipelines, nestable, double-clic ouvre onglet, fermer onglets sauf main.",terminee,type zone; tabs nestes; open/close; palette; tests F0052,90min,25min,zone composant
F0053,refactor OOP steps Python + GUI front classes,Epic majeure: hierarchie Step Python + front ES modules/classes. Spec agentic/specs/F0053_oop_refactor.md. Stories F0053-S0..S8. Gate full pytest en fin.,terminee,plan epic; stories S0-S8; regles stories; zero-build ES modules,,,parent epic OOP
F0053-S0,harness tests static sources,Helper read_all_js; migrer asserts monolithe app.js; baseline avant split.,terminee,tests/helpers/static_sources.py; migrate UI tests,depends: F0053,,
F0053-S1,python Step ABC factory 6 types,Package pipeline/steps: ABC + Dataframe/Table/View/Execute/Iteration/Zone + StepFactory.,terminee,steps package; unit tests S1,depends: F0053-S0,,
F0053-S2,front split ES modules comportement identique,Decouper app.js en modules app/*; type=module; zero renames critiques.,terminee,static/app/*; index.html module,depends: F0053-S0; parallel S1,,
F0053-S3,python process polymorphe via Step,process/should_process/relation_name + DependencyTree via Step methods.,terminee,engine dispatch registry,depends: F0053-S1,,
F0053-S4,front StepTypeRegistry + classes core,GuiApp State ApiClient UiController StepTypeRegistry.,terminee,classes JS core,depends: F0053-S2; parallel S3,,
F0053-S5,gui registry unique + extract services,tools_catalog/allow-list depuis registry; yaml_store module.,terminee,GuiService thin,depends: F0053-S3,,
F0053-S6,front controllers Graph Tabs Config Project,Classes GraphCanvas PipelineTabs ConfigPanel etc.,terminee,ui controllers,depends: F0053-S4,,
F0053-S7,split engine.py modules imports stables,connection_utils dependency runner iteration_parallel reexports.,terminee,engine split,depends: F0053-S3,,
F0053-S8,gate full pytest + docs ARCHITECTURE,Adapter tests restants; full suite; docs; parent terminee.,terminee,full pytest gate,depends: all S*,,
F0054,2e tour optimisation POO front+backend,"Apres F0053: split GuiService, config.js en controllers reels, composition ConnectionPipeline, Step.build hooks. Stories S1-S4.",terminee,S1 gui services; S2 config panel; S3 UI panels; S4 engine composition; full pytest,,,2e tour OOP
F0054-S1,backend split GuiService + Step build,Extraire Graph/Tabs/Build du god-facade; build via Step; composition ConnectionUtils optionnelle.,terminee,gui/services/*; steps hooks,depends: F0054,,
F0054-S2,front ConfigPanel split config.js,Decouper config.js: requires yaml pencil step-actions; class ConfigPanel.,terminee,static/app/config/*,depends: F0054; parallel S1,,
F0054-S3,front Project Changelog DataView classes,Classes reelles ProjectDialogs ChangelogPanel DataViewPanel; GraphCanvas/Toolbox/Tabs logique interne.,terminee,ui controllers thick,depends: F0054-S2; parallel S1,,
F0054-S4,gate tests + docs,Full pytest; ARCHITECTURE F0054; terminee.,terminee,full suite,depends: S1-S3,,
F0055,execute python,Composant execute_python: script Python dans .venv projet ou venv custom; zone script GUI.,terminee,plan_F0055.md,75min,35min,dev: type execute_python + GUI form script/venv + tests; merge pending; notes_test PASS 17/17; deja sur main 2576380; notes_test PASS; pytest F0055 17ok; terminee gestionnaire
F0056,zone objects multi-select par id,Zone.objects dict {id: meta}; multi-select GUI; meme objet multi-zones; graphe filtre par objects; id immutable label libre.,terminee,ZoneStep.objects; GraphOps.members; zone-objects.js; tests F0056,45min,15min,zone objects membership
F0057,zones calculees inverse objects + chips clickables,Property zones calculee (non YAML); multi-zones via objects; chips ouvrent onglet zone; refs clickables.,terminee,zones_of; field-zones; renderZones; tests F0057,35min,12min,zones inverse objects
F0058,build zone = build tous les objects,"Quand zone selectionnee, Build execute tous les objets de zone.objects (ordre requires).",terminee,zone_build multi; topo requires; tests F0058,25min,10min,zone multi build
F0059,zones chips selection retrait double-clic,Chips Zones: clic=selection+croix retirer membership; double-clic=ouvrir zone; home non retirable.,terminee,removeObjectFromZone; zone-chip-remove; tests F0059,20min,8min,zone chip remove
F0060,multi-zone copies FS sync,Presence objet=fichiers id.yaml multi-dossiers; share=dupliquer; unshare si multi; save sync toutes copies; 3 niveaux RAM/disque/UI.,terminee,YamlStepStore multi-origin; attach/detach; zones FS; tests F0060,50min,15min,multi zone copies
F0061,bouton Build renomme Renatus,"Label GUI Build -> Renatus (faire renaitre: dataset, SQL, python, iteration, zone).",terminee,index.html btn labels; toasts; test F0029,10min,5min,renatus button
F0062,dataview stdout stderr execute_python,DataView affiche stdout et stderr apres Renatus d un script execute_python.,terminee,python_run_results; stream/content rows; cell-pre; tests F0062,25min,10min,python stdout dataview
F0063,dialog suppression style + touche Suppr,Popup delete stylée (dialog) au lieu de confirm natif; touche Delete supprime le composant selectionne.,terminee,confirm-dialog.js; keydown Delete; CSS danger; tests F0063,20min,8min,delete UX
F0064,delete zone ferme onglets GUI,Suppression d une zone ferme les onglets ouverts la concernant (zone + sous-onglets) et resync client.,terminee,delete_step closed_tabs; refreshTabs; tests F0064,20min,8min,zone delete close tabs
F0065,workspace git tracking auto changelogs,Workspace defaut et tout workspace RW: auto .renatus.yaml + git init; autocommit create/update/delete step {id}; changelog log --all.,terminee,_ensure_project_tracking; global_log --all; tests F0065,35min,12min,auto git track workspace
F0066,UI labels sobres Required by sans micro-hints,"Renommer Utilise par -> Required by; retirer les field-hint hyper descriptifs partout (config, dialogs, empty states).",terminee,Required by; hide field-hint; tests F0066/F0021,20min,8min,UI less prose
F0067,property sql renommee script partout,"YAML/config: sql -> script (SQL pour table/view/execute, Python pour execute_python). Lecture legacy sql; UI champ Script unique.",terminee,normalize_script_key; save extract multi-key; UI field-script; tests F0067,40min,15min,sql to script unify
F0068,execute_python defaut python local,Sans venv (vide/absent): execute avec sys.executable. Si venv renseigne: ce venv/binaire.,terminee,resolve_venv_python local; UI placeholder; tests F0068/F0055,20min,8min,python local default
F0069,layout defaut workspaces/ws_main/proj_main,Sans arg: cree workspaces/ws_main/proj_main (pipelines + main.duckdb + .renatus.yaml). Path cree si absent.,terminee,DEFAULT_PROJECT_ROOT; save path parent pipelines; tests A0006/F0069,25min,10min,default project layout
F0070,formulaires label a cote du champ,"Config + dialogs: label a gauche, controle a droite (grid). Plus de label au-dessus. Responsive stack si etroit.",terminee,config-form grid field; props-form grid; tests F0070,25min,8min,inline form labels
F0071,onglets bas View et Track actions exclusives,"Renommer Data preview->View, Changelogs->Track. Apply file/all uniquement sur Track; Renatus/Recharger uniquement sur View. Fix CSS hidden.",terminee,switchBottomTab; bottom-actions hidden; tests F0071,15min,6min,view track tabs
F0072,config header sticky actions,"Barre Supprimer/Sauver/Renatus figee pendant le scroll du panneau Config.",terminee,config-zone overflow hidden; config-form overflow auto; sticky panel-head; tests F0072,10min,4min,sticky config actions
F0073,View process Output Error subtabs,"execute_python: View divise en sous-onglets Output (stdout) et Error (stderr). Tables classiques inchangees.",terminee,process-view; switchProcessSubTab; tests F0073,30min,10min,python stdout stderr tabs
F0074,retirer bouton Recharger View,"Supprimer le bouton Recharger de la barre View (dataview); Renatus seul suffit.",terminee,remove btn-dv-reload; tests F0074,10min,3min,remove reload button
F0075,palette regions Datasets Execute Flow + shell,"Palette Outils en regions Datasets (df/table/view), Execute (sql/python/shell), Flow (iteration/zone). Nouveau type execute_shell (script shell).",terminee,ExecuteShellStep; toolbox-region; tests F0075,45min,15min,toolbox regions shell
F0076,panneaux collapsables outils config view,"Outils (gauche), Config (droite), View/Track (bas) repliables pour agrandir le graphe. Prefs localStorage.",terminee,layout.js; sidebar/config/bottom-collapsed; rails; tests F0076,30min,10min,collapsible panels
F0077,palette sans labels blancs redondants,"Retirer le libelle blanc (Dataframe fichier, Table SQL…) de la palette: icone + badge type suffisent.",terminee,toolbox no tool-label; CSS hide; tests F0077,10min,3min,palette labels cleanup
F0078,rename execute to execute_sql,"Type YAML execute renomme execute_sql (distinct de execute_python/shell). Alias legacy execute en lecture.",terminee,ExecuteStep.type execute_sql; TYPE_ALIASES; palette; tests F0078,25min,10min,execute_sql rename
F0079,renommer Outils en Composant Graphe en Flux,"Titres UI: Outils->Composant, Graphe->Flux (rails + aria).",terminee,index.html titles; layout rails; tests F0079,10min,3min,composant flux labels
F0080,flux sans + refresh + pictos regions,"Retirer boutons + et refresh de Flux; pictogrammes CSS pour Composant, Flux, Config.",terminee,remove btn-tab-add refresh; panel-head icons; tests F0080,15min,5min,flux icons no plus refresh
F0081,selection config zone ou objet toujours,"Toujours afficher une config: zone de l onglet / dernier objet manipule / objet selectionne. ensureSelection apres tab/delete/load.",terminee,ensureSelection; lastSelectedByTab; lastManipulatedZone; tests F0081,30min,10min,default selection config
F0082,zone main protegee pipelines/main,"Zone main = pipelines/main/ + main.yaml; non supprimable; migre steps racine vers main/.",terminee,ensure_main_zone; dir_for_tab main; delete protect; tests F0082,40min,15min,protected main zone
F0083,autosave sans bouton sauver,"Retirer bouton Sauver config: toute edition formulaire/YAML est auto-sauvegardee (debounce). Ctrl+S = flush. Renatus flush avant build.",terminee,scheduleAutoSave; remove btn-save; tests F0083,30min,12min,autosave no save button
F0084,commit champ monoligne enter blur,"Champ monoligne en edition: Enter ou perte de focus (blur/click dehors) commit les valeurs et sauvegarde immediate. Crayon reste cancel.",terminee,commitEditField; isSingleLineControl; wire focusout Enter; tests F0084,25min,10min,single-line commit
F0085,commit champ multiligne ctrl enter blur,"Textarea (script): Ctrl+Enter (Cmd+Enter) ou blur/click dehors commit + save. Enter seul = nouvelle ligne.",terminee,isMultiLineControl; Ctrl+Enter; focusout textarea; tests F0085,15min,6min,multi-line commit
F0086,retirer boutons config supprimer sauver renatus,"Config: plus de Supprimer/Sauver/Renatus. Delete clavier, autosave, Renatus View + Ctrl+B.",terminee,remove btn-delete btn-build; shortcuts; tests F0086,15min,6min,config actions removed
F0087,renommer renatus-gui en renatus-gui,"Surfaces produit: renatus-core (package), renatus-cli, renatus-api, renatus-gui. CLI renatus-gui → renatus-gui (puis F0088 purge totale). UI titre Renatus GUI.",terminee,pyproject scripts; server prog; docs README GUI; tests F0087,25min,10min,renatus-gui rename
F0088,purge complete studio vers gui,"Renommer package renatus.studio→renatus.gui, routes /studio→/gui, classes Studio*→Gui*, data-testid, docs, tests. Plus aucune trace studio. Alias renatus-studio supprime.",terminee,mv package; replace bulk; tests F0088; full pytest,45min,15min,studio purged to gui
F0089,logo officiel renatus png,"Integrer le logo officiel fourni (R pipeline + cycle + wordmark) en PNG dans doc/assets et gui/static; GUI brand + README + documentation.html.",terminee,renatus-logo.png; mark; tests F0030 maj,15min,5min,official logo
F0090,renommer pipelines en flow flux,"Dossier utilisateur pipelines/ → flow/. Doc: pipeline → flux/flow. Compat lecture pipeline_path + migration auto. Code chemins defaut flow/.",terminee,workspace FLOW_DIR; project flow_path; docs; tests,40min,15min,flow rename
F0091,schema calcule datasets dataframe table view,"Propriete calculee schema sur dataframe/table/view: liste {name,type} des colonnes de la relation en base. Hors YAML; API get_step + UI Config lecture seule.",terminee,dataset_schema; get_step schema; renderSchema; tests F0091,35min,12min,dataset schema
F0092,"shape calcule datasets [rows, cols]","Propriete calculee shape=[rows,cols] pour dataframe/table/view. Apres un build reussi; se met a jour a chaque Renatus. Hors YAML.",terminee,dataset_shape; get_step shape; renderShape; tests F0092,25min,10min,dataset shape
F0093,renatus_time calcule + rename iteration iterate,"Propriete renatus_time (secondes) apres chaque build pour tout composant. Type iteration renomme iterate (alias legacy). UI Config.",terminee,GuiService._renatus_times; build wrap; TYPE_ALIASES; tests F0093,40min,15min,renatus_time iterate
F0094,graphe noeuds label+logo only,"Noeuds Flux: afficher uniquement label + icone type. Retirer le sous-texte descriptif (SQL name / type / mode). Detail conserve dans tooltip title.",terminee,graph.js renderGraph; style ntype; tests F0094,20min,8min,label only nodes
F0095,requires view chips + edit popup zone,"Requires en view: chips des required (pas de checkboxes). Edit: dialog graphe zone non editable, menu deroulant zone, double-clic ajoute. YAML = id step.",terminee,requires.js openRequiresEditor; dialog; tests F0095,50min,20min,requires popup graph
F0096,flux dropdown zones,"Zone Flux: menu deroulant listant les zones disponibles. Selection = affiche les composants de la zone dans le canvas graphe.",terminee,flow-zone-select; renderPipelineTabs; switchTab; tests F0096,25min,10min,flow zone dropdown
F0097,zone objects view chips + edit popup,"Config zone Objects: view = chips membres; edit crayon = popup style Flux avec dropdown zone et double-clic pour copier un composant dans objects.",terminee,zone-objects.js openZoneObjectsEditor; dialog; tests F0097,40min,15min,zone objects popup
F0098,popup requires canvas full width,"Popup Requires/Objects: canvas style Flux pleine largeur (override grid props-form). Retrait du texte Lecture seule double-clic.",terminee,requires-edit-form flex full width; remove hint; tests F0098,15min,5min,popup full width canvas
F0099,clic fond Flux selectionne zone courante,"Clic sur zone libre du canvas = selection de la zone courante (config Objects). Fallback sans objet = zone courante, pas le dernier objet modifie.",terminee,selectCurrentZone; wireGraphBackgroundSelect; ensureSelection zone first; tests F0099,25min,10min,canvas bg select zone
F0100,config view strict jusqu au crayon,"Tous champs Config en view par defaut. Dropzone fichier / controles d edition seulement apres clic crayon. Corrige file empty qui forçait show-file-editor.",terminee,updateFileFieldMode editing only; CSS field-file; display-cfg-file; tests F0100,20min,8min,view until pencil
F0101,id composant = stem fichier YAML,"Invariant: id de chaque composant = shortname du fichier YAML (sans dossiers parents, sans extension). Load heal si cle != stem; create/put normalisent.",terminee,YamlStepStore.normalize_step_id; load_pipeline; save_step; tests F0101,30min,12min,id equals yaml stem
F0102,importer flux fichier ou dossier,"Bouton Importer flux: YAML ou dossier (arborescence sous zone cible). Dialog: zone cible + conflit keep_both|keep_existing|replace. Ids uniques F0101.",terminee,import_flow.py; POST /gui/import/flow; dialog; tests F0102,90min,25min,import flow tree
F0103,import split multi-objets 1 fichier par composant,"Chaque YAML importe est parcouru: 1 objet = 1 fichier. Conflits batch: prefixe stem fichier source. Conflits existants: strategie user keep_both/keep_existing/replace.",terminee,import_flow _load_yaml_objects; _claim_id prefix; tests F0102 multi,40min,15min,split multi-key import
F0104,zone calculee all tous composants,"Vue zone all: tous les composants de toutes les zones (recursif), sans afficher les objets type zone intermediaires. Select Flux + graph tab=all.",terminee,GraphOps filter zone; list_tabs virtual all; set_active_tab all; tests F0104,35min,12min,virtual zone all
